3.374491588671857650e-03,-3.383466452463026151e-03,7.487003537798718744e-01,-1.913299072826767783e-02,2.208280153401637885e-02,6.946895556368183344e-01,7.187160077745038400e-01,3.432368686687980314e-02,-2.395488394485737610e-02,1.155740662387518269e-01,1.332210148769220892e-01,-3.247493664392875901e-01,7.233314018227246511e-02,-1.125693444473066934e-01,-5.636591984008751388e-02,-4.128262391263397280e-02,3.071562049554608098e-01,-3.611990989102121241e-01,1.213475680610155011e-01,-6.869250484972926063e-02,-4.956897461425845836e-02,1.723071179046298251e-02,5.259063125924073184e-02,2.920939171223889130e-01,-2.310871528454404300e-01,1.140909656473525047e+00,2.281598672649552684e-01,-5.206471496456099163e-03,4.225173559270965079e-02,1.629454282139224386e-01,-4.755544939067093413e-01,3.494911567994517521e-01,2.529391060637144473e-01,-7.903474873897289865e-02,-9.395878736570681400e-02,-3.481817716321579381e-02
4.263745568258797865e-03,-4.183570951857171379e-03,7.473860903126835487e-01,-1.206258723215947529e-02,2.447025084555398688e-02,6.950543920258076547e-01,7.184393453440984789e-01,1.866330187910069174e-02,-3.642169579348999292e-02,1.127872014447119792e-01,1.769986858523034945e-01,-3.429127832128844311e-01,7.295170307334641890e-02,-1.322319697912138492e-01,-7.267868435868582444e-02,-3.779481234325852285e-02,3.617993002771000555e-01,-3.936446042966885717e-01,1.238723229056744035e-01,-8.032305712053565416e-02,-5.863450115624004727e-02,2.589615869834945364e-02,4.427381524786993400e-02,2.847646542153567384e-01,-2.285758320862032456e-01,1.168693778913109993e+00,2.359747254217949564e-01,-2.341312995836406646e-02,4.958455338932574175e-02,1.919109148070755333e-01,-5.019050402531206601e-01,3.439026670900529603e-01,1.543891918999018009e-01,-6.870961853011085807e-02,-1.249519763323382882e-01,-3.788051447216432555e-02
5.284082333699051739e-03,-4.331613146793723661e-03,7.465321526840826838e-01,-9.092997430117211177e-03,2.728039020210571569e-02,6.956644973214917149e-01,7.177910593442862197e-01,4.802037332842457040e-03,-4.371135011882141402e-02,1.093469909398616796e-01,2.047619406124338570e-01,-3.535120481377128643e-01,7.203470685793700312e-02,-1.441005257005636697e-01,-8.170466166881296122e-02,-3.647408615844461438e-02,3.877258733428475823e-01,-4.115084994785168648e-01,1.244225579071288890e-01,-8.784231454738185285e-02,-6.338936400485790934e-02,2.880250244219020178e-02,4.098787250372234320e-02,2.848999940502547346e-01,-2.244690394233381237e-01,1.176837819487188685e+00,2.384599159588946249e-01,-2.812736052479433702e-02,4.793012720741744725e-02,2.230225766046369518e-01,-5.340062935603404615e-01,3.215537391379938992e-01,4.547452197247484063e-02,-4.802898288991981623e-02,-1.359243548461402384e-01,-3.339965830033246597e-02
6.393515833642115197e-03,-4.308818178947508570e-03,7.460385316650594012e-01,-7.114422109886587263e-03,2.977725012995361895e-02,6.959446318382750407e-01,7.174425201981190492e-01,-5.983410604522688622e-03,-4.935066328998718305e-02,1.044118020005969094e-01,2.245178563171336961e-01,-3.588117470102370477e-01,7.365418307882107274e-02,-1.496439799946578386e-01,-8.790610696503552146e-02,-3.584459702704776568e-02,3.981426142891800191e-01,-4.225722703453145268e-01,1.227837453233147913e-01,-9.305630412087000092e-02,-6.658430370217099936e-02,3.080625004511579335e-02,4.246247264447708392e-02,2.882405178896085274e-01,-2.210461879173735711e-01,1.173831394825606722e+00,2.415612552608718544e-01,-3.017873690600058820e-02,4.370077183677915228e-02,2.545751032207007047e-01,-5.657806452393239205e-01,2.804846743996401437e-01,-6.353053847876960480e-02,-2.800660593667418999e-02,-1.376902291675319023e-01,-2.830105903666746414e-02
7.453110862234427723e-03,-4.153398168247484507e-03,7.457085795114923865e-01,-5.661513907111296630e-03,3.159307494441435799e-02,6.964397197184196697e-01,7.168971625514815038e-01,-1.425361202194344243e-02,-5.327942710881052035e-02,9.952631614711390795e-02,2.397576135793907659e-01,-3.625008711961296148e-01,7.417285788363560395e-02,-1.513799839706821970e-01,-9.222168910781299023e-02,-3.649817744536849873e-02,4.018604528220468541e-01,-4.294591721545244489e-01,1.212596954421592266e-01,-9.886664863481252341e-02,-6.514017714274626669e-02,3.120644585844226451e-02,4.738370316163653673e-02,2.906471690799860008e-01,-2.201147677907645539e-01,1.168246271811723469e+00,2.418771036444308242e-01,-2.934564987145822992e-02,3.989386636906201017e-02,2.841653668075592720e-01,-5.936176117490860049e-01,2.278936518695601487e-01,-1.672167927211339611e-01,-5.827944011274882770e-03,-1.347322180332501396e-01,-3.083969681152557221e-02
8.381477562202839862e-03,-3.899737297645622033e-03,7.455738033066349191e-01,-5.101716249332836559e-03,3.275470221570424972e-02,6.968926551786522872e-01,7.164089119574938991e-01,-2.054904616382667581e-02,-5.486117066909899226e-02,9.581345736460930573e-02,2.509139892949299178e-01,-3.650696258859466026e-01,7.471012922187647565e-02,-1.522323625722746265e-01,-9.368618567279349274e-02,-3.584709373308857944e-02,4.032135529464421220e-01,-4.327833526118097240e-01,1.205411424941204152e-01,-1.004777667461038415e-01,-6.518471055902430589e-02,3.160240730994556824e-02,5.256372371216169737e-02,2.933789637459218724e-01,-2.168905824158665896e-01,1.160655394351542746e+00,2.431849031979403941e-01,-2.977768328488350491e-02,3.291181820465068075e-02,3.099688321531382518e-01,-6.199595353432610922e-01,1.728334771864401820e-01,-2.568914559805847153e-01,1.170348104013698223e-02,-1.293272682674307117e-01,-3.002813111056777673e-02
9.099613363656396114e-03,-3.577315847931688587e-03,7.455632718448201857e-01,-5.585318338279113629e-03,3.413476981654377934e-02,6.964385398695208673e-01,7.167823811262675759e-01,-2.528450019806399024e-02,-5.542912469622287425e-02,9.322269793311319108e-02,2.557017404145728312e-01,-3.660512408018806174e-01,7.525701001440671112e-02,-1.525817526504663624e-01,-9.334071302656567204e-02,-3.401625274289454132e-02,3.982647497142953741e-01,-4.326578811685657389e-01,1.214887992398330924e-01,-1.034256261407487942e-01,-6.441919996197492670e-02,3.204877019826510992e-02,5.986489988649604244e-02,2.953944013884705067e-01,-2.095876606995681624e-01,1.151321235851754610e+00,2.414881381568863283e-01,-2.938603583460176055e-02,2.378514877025416502e-02,3.321781639131554109e-01,-6.434057029380296777e-01,1.068147392883275343e-01,-3.492087321321441507e-01,3.469118110052692855e-02,-1.261312850370975569e-01,-3.082321434935327009e-02
9.623221711441152029e-03,-3.284784745943150792e-03,7.456675732174133930e-01,-6.464393287875920720e-03,3.556469055079696656e-02,6.970984244074287517e-01,7.160636501695407663e-01,-3.010226254873361526e-02,-5.625226251756276774e-02,8.849852300282413931e-02,2.582421495903283182e-01,-3.652963590004654759e-01,7.690627500083666024e-02,-1.526790007407322070e-01,-9.280010612401917713e-02,-3.199056739492681101e-02,3.927222122210011768e-01,-4.320464037828027903e-01,1.207983383941295674e-01,-1.017993828269382339e-01,-6.273151847355835919e-02,3.303216190014606618e-02,6.325626200988331005e-02,2.973844754706168048e-01,-2.060419685439037751e-01,1.143987088674039088e+00,2.453888008809596011e-01,-2.932153155646700926e-02,1.432102357010813648e-02,3.493936023496466148e-01,-6.668475549099716071e-01,4.045945530326680584e-02,-4.232357354053953857e-01,4.326340967388998815e-02,-1.184664655714520454e-01,-2.770643983389508430e-02
9.838533361418263373e-03,-3.194712045775323361e-03,7.458193724939360392e-01,-6.587410382643038055e-03,3.528595870162220399e-02,6.975271307061272630e-01,7.156587238843915566e-01,-3.054719336088252205e-02,-5.544792815888672372e-02,8.706427487188789227e-02,2.595477743829007200e-01,-3.648813098323516191e-01,7.937411612174229136e-02,-1.516217122485216950e-01,-9.151329993800316753e-02,-3.049309979876182325e-02,3.915839876037722767e-01,-4.292223153874821784e-01,1.197620779266262148e-01,-9.927138954471714793e-02,-6.074695182954365641e-02,3.238903244882763988e-02,6.692891231076171510e-02,2.973358683891804688e-01,-2.055472502277306546e-01,1.137994975055751423e+00,2.430692405069210804e-01,-3.001727751703240840e-02,6.721359603409885961e-03,3.536494284100452634e-01,-6.918765280286360841e-01,-1.573977229528368202e-02,-4.826063322117053467e-01,4.594497568033556467e-02,-1.093664913848649278e-01,-2.283741619853587104e-02
9.822585645891496534e-03,-3.348776450950601870e-03,7.458735499102595590e-01,-6.352917397754761011e-03,3.470408789644804232e-02,6.978658209525920864e-01,7.153590445852894275e-01,-3.014201430894424688e-02,-5.508920270550830833e-02,8.584793839495649670e-02,2.605858656531838125e-01,-3.648999531055143741e-01,8.127812944168781584e-02,-1.505315752635149884e-01,-9.080273427170826306e-02,-2.930719751235393022e-02,3.918298368385182417e-01,-4.284330254821390183e-01,1.187565942445622247e-01,-9.583279765982510856e-02,-5.922779681789839407e-02,3.226420996642473393e-02,7.217419483952644543e-02,2.975199461822544689e-01,-2.058693649759020250e-01,1.126737236627316951e+00,2.411538119520268975e-01,-3.369632895004953665e-02,-1.211796753902278506e-03,3.519594706816793206e-01,-7.142264604473187450e-01,-6.751725236519816320e-02,-5.244024487041060167e-01,4.102173568304399998e-02,-1.008707695032966256e-01,-2.276862612316616144e-02
